Sol,End,Look ahead,Activity,Solar longitude (deg),UTC
1,,,Thermal Checkouts,296.23,2018-11-27 18:50
2,,,Safe Mode,296.85,2018-11-28 19:30
3,,,Safe Mode Recovery,297.47,2018-11-29 20:11
4,,,"IDA Unstow Part 1, ICC Cover Open, and Instrument Checkouts",298.09,2018-11-30 20:51
5,,,IDA/IDC and APSS Safed,298.71,2018-12-01 21:31
6,,,Runout,299.32,2018-12-02 22:11
7,,,Runout,299.94,2018-12-03 22:51
8,,,"IDA Unstow Part 2, Deck Imaging, and Arm Characterization",300.55,2018-12-04 23:31
9,,,Runout,301.17,2018-12-06 00:11
10,,,Above Deck and Footpad Imaging; APSS Checkout,301.78,2018-12-07 00:51
11,,,Runout,302.39,2018-12-08 01:31
12,,,Workspace Imaging,303.00,2018-12-09 02:11
13,,,Runout,303.61,2018-12-10 02:51
14,,,"Below Deck imaging, Science Panorama, First Tau Image, APSS Power On, HP3 Radiometer Cover Open, and SEIS Calibration",304.22,2018-12-11 03:31
15,,,Runout,304.83,2018-12-12 04:11
16,,,"High Resolution Imaging of SEIS and HP3 Deployment Locations, SEIS SP Data Collection, SEIS Tilt Measurement, HP3 Open Cover Radiometer Calibrations, and Start HP3 SSA Monitoring",305.44,2018-12-13 04:51
17,,,Runout,306.04,2018-12-14 05:30
18,,,Below Deck Imaging of All Footpads and Grapple Unstow,306.65,2018-12-15 06:10
19,,,Runout,307.25,2018-12-16 06:50
20,,,"SEIS Capture with Grapple, Acquire SEIS Data, Update TWINS Heater Setpoints, and Imaging",307.86,2018-12-17 07:30
21,,,Runout,308.46,2018-12-18 08:10
22,,,SEIS Deployment,309.06,2018-12-19 08:50
23,,,IDC and ICC Imaging of SEIS; Unsafe HP3,309.66,2018-12-20 09:30
24,,,Grapple Adjustment; HP3 Checkouts and Calibrations,310.26,2018-12-21 10:10
25,,,"Release SEIS Grapple, HP3 Tilt Measurements, SEIS Collect SP Data and Tilt Measurements, and IDC and ICC Imaging",310.86,2018-12-22 10:50
26,,,SEIS and Tether Imaging; Tau Imaging,311.46,2018-12-23 11:29
27,,,Runout,312.05,2018-12-24 12:09
28,,,Runout,312.65,2018-12-25 12:49
29,,,Runout,313.25,2018-12-26 13:29
30,,,"SEIS Leveling, Acquire SEIS Data, and Imaging",313.84,2018-12-27 14:09
31,,,Runout,314.43,2018-12-28 14:49
32,,,"Unsafe IDA and PAE, SEIS Collect SP Data and Tilt Measurements, and SEIS Stereo Imaging",315.02,2018-12-29 15:28
33,,,Runout,315.62,2018-12-30 16:08
34,,,Runout,316.21,2018-12-31 16:48
35,,,"SEIS VBB Recentering and Data Collection, IDS Stereo Imaging of SEIS After Leveling, Sundial Imaging, and Grapple Localization",316.79,2019-01-01 17:28
36,,,Runout,317.38,2019-01-02 18:07
37,,,Open SEIS Tether Storage Box,317.97,2019-01-03 18:47
38,,,"SEIS Tether Assessment, LSA Imaging, and Stow SEIS VBB",318.56,2019-01-04 19:27
39,,,IDA Temperature Monitoring and HP3 Radiometer Shadow Measurements,319.14,2019-01-05 20:07
40,,,Load Shunt Assembly (LSA) Release and Imaging,319.73,2019-01-06 20:46
41,,,Runout; Imaging of LSA and Pinning Mass,320.31,2019-01-07 21:26
42,,,Imaging of Pinning Mass and SEIS VBB Recentering; Attempted Grapple Stow,320.89,2019-01-08 22:06
43,,,Runout,321.47,2019-01-09 22:46
44,,,"Stereo Imaging of SEIS, LSA, and Pinning Mass, HP3 Tilt Measurements, and SEIS Level Low; Attempted Grapple Stow",322.05,2019-01-10 23:25
45,,,Runout; SEIS VBB/SP Data Acquisition,322.63,2019-01-12 00:05
46,,,SEIS and HP3 Activities; Attempted Grapple Stow,323.21,2019-01-13 00:45
47,,,Runout,323.79,2019-01-14 01:24
48,,,Pinning Mass Imaging from Standoff Position and Tau Imaging,324.36,2019-01-15 02:04
49,,,Runout,324.94,2019-01-16 02:44
50,,,Grapple Investigation Activity and Grapple Stow,325.51,2019-01-17 03:23
51,,,Runout,326.08,2019-01-18 04:03
52,,,Pinning Mass Imaging from Standoff Position and Tau Imaging,326.65,2019-01-19 04:42
53,,,Runout; Saltation Images,327.23,2019-01-20 05:22
54,,,Runout,327.79,2019-01-21 06:02
55,,,Runout,328.36,2019-01-22 06:41
56,,,"Pinning Mass Adjustment, HP3 Radiometer Calibration, Recenter SEIS VBBs, and SEIS SP and VBB Data Collection",328.93,2019-01-23 07:21
57,,,Runout,329.50,2019-01-24 08:01
58,,,"Tau Imaging, HP3 Tilt Measurement, HP3 Radiometer Hourly Mode, SEIS Tilt, SEIS SP and VBB Data Collection, Calibration Target Imaging, and Stereo Imaging of the HP3 Placement Site",330.07,2019-01-25 08:40
59,,,Pinning Mass Adjustment #2 and HP3 Engineering Tether Preheat Test,330.63,2019-01-26 09:20
60,,,Runout,331.19,2019-01-27 09:59
61,,,Pinning Mass Adjustment #3 and HP3 Radiometer Calibration,331.76,2019-01-28 10:39
62,,,"LSA Imaging, SEIS Stereo Imaging, WTS Site Imaging, SEIS SP/VBB Data Collection, HP3 Rad Hourly, and Grapple Unstow",332.32,2019-01-29 11:18
63,,,WTS Teach Point,332.88,2019-01-30 11:58
