latitude,longitude,instrument,seasonal_longitude,seasonal_bin,sol_range_start,sol_range_end,median_sol,reliability_score,power_reliability,routine_ratio,complexity_score,complexity_std,sample_count,reliability_std,mission_age_factor,systems_involved,operational_tempo,science_activity_rate,maintenance_activity_rate,recovery_activity_rate,movement_required_rate,power_intensive_rate,success_rate,temperature_celsius,temperature_range_celsius,wind_speed_avg_ms,wind_speed_max_ms,wind_speed_variability,weather_data_quality,seasonal_intensity_factor,orbital_thermal_factor,diurnal_thermal_factor,combined_thermal_stress
-49.831,-82.5,APSS,7.5,0,157,1888,1469,0.5292,0.5131,0.2,0.4985,0.3503,5,0.2103,1.3,2.8,1.37,0.4,0.0,0.0,0.6,0.6,0.5292,-57.1,13.6,10.0,24.6,2.54,10,1.25,1.0,1.23,1.81
-49.815,-67.5,APSS,22.5,1,409,692,550,0.7255,0.6969,0.0,0.36,0.2645,2,0.1024,0.55,4.5,1.36,1.0,0.0,0.0,0.0,0.0,0.7255,-66.9,27.1,10.6,19.1,2.25,4,1.35,1.07,1.34,2.15
-52.491,-52.5,APSS,37.5,2,110,1932,1496,0.7588,0.7879,0.0,0.5438,0.3362,7,0.1626,1.28,2.0,1.4,0.4286,0.1429,0.0,0.5714,0.2857,0.7588,-56.9,15.7,9.6,16.8,3.62,14,1.17,1.05,0.99,1.24
-52.926,-37.5,APSS,52.5,3,83,1926,1020,0.6688,0.707,0.3636,0.507,0.2803,11,0.1888,0.94,3.3,1.13,0.3636,0.0909,0.0,0.3636,0.2727,0.6688,-50.6,14.4,9.4,25.2,2.75,22,1.26,0.98,0.99,1.59
-43.612,-22.5,APSS,67.5,4,1380,1747,1710,0.5497,0.511,0.0,0.4154,0.2944,6,0.1762,1.62,3.8,1.21,0.3333,0.1667,0.0,0.5,0.5,0.5497,-55.2,17.5,8.3,25.7,3.1,12,1.06,1.25,0.77,1.87
-51.473,-7.5,APSS,82.5,5,129,1921,1368,0.6907,0.746,0.0,0.6629,0.3223,7,0.2181,1.25,3.0,1.41,0.8571,0.0,0.0,0.5714,0.5714,0.6907,-52.1,12.3,9.1,27.5,2.71,14,0.92,0.9,0.99,1.83
-44.109,7.5,APSS,97.5,6,149,1692,969,0.6085,0.5806,0.5,0.5137,0.3915,4,0.2171,0.94,2.8,1.4,0.25,0.0,0.0,0.5,0.25,0.6085,-56.5,15.2,13.3,20.2,3.27,8,0.61,0.89,1.15,1.58
-46.901,22.5,APSS,112.5,7,362,1478,562,0.5809,0.5339,0.0,0.5518,0.328,5,0.2413,0.86,2.6,1.38,0.2,0.2,0.0,0.4,0.6,0.5809,-44.7,21.6,12.5,17.4,1.99,10,1.25,0.97,1.33,1.68
-40.925,37.5,APSS,127.5,8,54,1796,948,0.6083,0.6333,0.4444,0.6183,0.2457,9,0.226,0.95,3.7,1.37,0.3333,0.2222,0.0,0.6667,0.5556,0.6083,-50.9,20.4,10.5,17.6,2.32,18,0.91,0.86,1.2,2.17
-53.28,52.5,APSS,142.5,9,244,1949,1132,0.765,0.7228,0.0,0.5452,0.1314,5,0.1237,1.23,2.6,1.11,0.2,0.4,0.2,0.2,0.4,0.765,-46.8,12.7,12.1,26.8,2.42,10,1.3,0.82,1.01,1.44
-43.333,67.5,APSS,157.5,10,490,1669,945,0.6732,0.6864,0.1429,0.543,0.2936,7,0.1497,1.03,3.6,1.19,0.1429,0.2857,0.2857,0.4286,0.5714,0.6732,-47.6,21.0,9.4,24.5,3.11,14,1.04,0.8,1.22,1.69
-42.251,82.5,APSS,172.5,11,162,1666,747,0.5492,0.5923,0.0,0.6026,0.298,4,0.2158,0.83,4.0,1.21,1.0,0.0,0.0,0.0,0.75,0.5492,-59.3,8.0,6.6,21.3,3.0,8,1.25,0.92,0.64,1.45
-52.16,97.5,APSS,187.5,12,140,1997,1464,0.5202,0.5332,0.2,0.7558,0.3495,5,0.1376,1.09,3.2,1.04,0.4,0.2,0.0,0.6,0.6,0.5202,-55.1,13.1,14.0,28.9,2.92,10,0.99,0.93,1.18,1.46
-42.636,112.5,APSS,202.5,13,1011,1754,1382,0.7781,0.7792,0.0,0.3479,0.2213,2,0.0434,1.38,1.0,0.81,0.0,0.5,0.0,0.0,1.0,0.7781,-38.4,9.6,8.1,16.9,3.43,4,0.78,1.01,0.79,0.94
-50.217,127.5,APSS,217.5,14,113,1450,448,0.7218,0.6759,0.2857,0.5676,0.2896,7,0.2498,0.72,3.4,1.17,0.5714,0.0,0.0,0.4286,0.4286,0.7218,-50.2,19.8,15.4,24.2,2.33,14,1.13,0.96,0.93,1.64
-39.938,142.5,APSS,232.5,15,583,1896,1180,0.7885,0.8466,0.5,0.6111,0.1899,6,0.1261,1.2,2.7,1.23,0.1667,0.1667,0.0,0.6667,0.3333,0.7885,-57.7,14.0,12.5,20.2,2.54,12,0.9,0.85,1.32,1.98
-50.037,157.5,APSS,247.5,16,849,1984,1545,0.717,0.766,0.2,0.3583,0.2166,5,0.2133,1.51,2.8,1.12,0.4,0.2,0.2,0.6,0.4,0.717,-51.6,15.5,8.2,17.6,2.26,10,0.82,1.01,0.89,1.61
-41.032,172.5,APSS,262.5,17,335,1725,991,0.6488,0.6156,0.2857,0.3964,0.166,7,0.2073,1.02,2.1,1.26,0.2857,0.2857,0.0,0.7143,0.4286,0.6488,-42.0,23.1,12.1,22.1,2.34,14,1.01,1.01,1.26,1.6
-48.557,-172.5,APSS,277.5,18,249,1555,1308,0.5298,0.5764,0.2,0.6306,0.2256,5,0.2287,1.05,3.0,1.13,0.8,0.0,0.0,0.6,0.2,0.5298,-59.1,19.7,10.2,28.1,1.77,10,1.1,1.11,1.03,1.69
-46.091,-157.5,APSS,292.5,19,470,1787,1127,0.6865,0.7262,0.3077,0.5628,0.2783,13,0.1972,1.17,2.5,1.19,0.1538,0.3077,0.0,0.5385,0.4615,0.6865,-52.6,21.2,11.9,21.7,2.76,26,0.77,1.04,0.97,1.98
-47.502,-142.5,APSS,307.5,20,983,1470,1043,0.4336,0.4308,0.25,0.5041,0.2312,4,0.1835,1.14,2.5,1.69,0.75,0.0,0.0,0.25,0.75,0.4336,-52.0,14.8,6.2,21.1,3.25,8,0.96,0.78,1.32,2.56
-51.98,-127.5,APSS,322.5,21,67,1464,730,0.5544,0.5847,0.1667,0.4081,0.2053,6,0.1517,0.78,3.0,1.26,0.1667,0.1667,0.1667,0.8333,0.3333,0.5544,-54.1,20.0,7.1,29.0,2.98,12,1.32,0.96,0.88,2.15
-42.347,-112.5,APSS,337.5,22,29,1855,1201,0.6746,0.7146,0.2,0.6009,0.2939,10,0.1867,1.02,2.0,1.32,0.4,0.0,0.2,0.6,0.6,0.6746,-51.5,19.6,8.5,23.3,2.69,20,1.1,0.79,1.23,1.95
-38.62,-97.5,APSS,352.5,23,366,1969,651,0.773,0.7426,0.3333,0.6243,0.2216,6,0.1603,0.86,3.3,1.26,0.1667,0.0,0.0,0.3333,0.6667,0.773,-52.3,16.7,9.9,24.9,2.09,12,1.36,0.85,1.02,2.19
69.029,-52.5,CAMERA,7.5,0,553,1733,1143,0.5099,0.4895,1.0,0.7446,0.166,2,0.0004,1.14,3.0,1.32,0.0,0.0,0.0,0.0,0.5,0.5099,-59.0,16.8,11.5,15.8,2.01,4,1.52,1.19,1.1,1.84
67.199,-37.5,CAMERA,22.5,1,222,1579,1104,0.6474,0.6019,0.4,0.6441,0.2527,5,0.199,0.87,2.4,0.98,0.6,0.0,0.0,0.6,0.2,0.6474,-57.6,20.4,14.1,17.1,2.08,10,0.88,0.88,1.24,1.49
74.535,-22.5,CAMERA,37.5,2,100,1598,1259,0.6514,0.7029,0.2,0.5957,0.2542,5,0.2711,1.13,3.2,1.27,0.4,0.4,0.0,0.6,0.6,0.6514,-42.1,17.8,7.1,17.6,2.87,10,1.06,0.82,1.19,1.81
68.631,-7.5,CAMERA,52.5,3,755,1228,991,0.5071,0.4608,0.0,0.4003,0.1835,2,0.2465,0.99,3.0,0.93,0.0,0.5,0.0,0.5,1.0,0.5071,-40.2,13.2,9.4,24.1,1.27,4,1.46,0.95,0.65,2.32
