date,datetime,sol,year,month,day,day_of_year,weekday,hour,temp_min,temp_max,temp_avg,temp_range,wind_speed_avg,wind_speed_max,wind_speed_std,weather_readings_count,end,look_ahead,activity,solar_longitude_deg,mission_phase,mission_age_factor,phase_progression,activity_word_count,instruction_count,is_multi_part,systems_involved,uses_ida,uses_hp3,uses_seis,uses_apss,uses_camera,uses_wts,complexity_score,seasonal_intensity,orbital_thermal_factor,diurnal_thermal_load,thermal_stress_combined,sol_diff,is_consecutive_sol,primary_instrument,requires_movement,power_intensive,redundancy_active,data_intensity,has_look_ahead,planning_horizon,is_science,is_maintenance,is_deployment,is_recovery,is_thermal,is_communication,primary_activity_type,activity_chain_position,is_recovery_activity,operational_status,criticality,power_status,success_indicator,operational_tempo,sols_since_last_science,sols_since_last_maintenance,sols_since_last_deployment,sols_since_last_recovery,sols_since_last_thermal,sols_since_last_communication,cumulative_ida_usage,cumulative_hp3_usage,cumulative_seis_usage,cumulative_apss_usage,cumulative_camera_usage,cumulative_wts_usage,sols_to_landing,sols_to_deployment_complete,sols_to_primary_mission_end,sols_to_first_extension_end,sols_to_conjunction_1,sols_to_conjunction_2,events_count,has_events
2021-06-02,2021-12-21 00:11,1127,2021,10,22,253,3,16,-63.761266987080546,-44.00556113138978,-72.9000451553873,29.34388797103648,4.655426808606085,8.171225208648728,3.282737041998893,12,0,3,activity_0,299.6793506881518,extended_mission,1.127,0.4667628932479799,41,3,0,5,0,0,0,1,0,0,0.5054493267725887,0.22387693008775977,1.4422017556848528,1.144932326768309,1.4635412563497903,1,0,APSS,1,1,1,0.4401524937396013,0,4,0,1,0,0,0,1,science,2,0,degraded,low,limited,0.7637655990477874,0.9675666141341164,5,21,3,28,17,1,44.975413336976565,39.51502360018144,92.66588657937942,72.72719958564208,32.65407688058354,57.04439744053994,1127,0,0,0,0,0,3,0
2021-08-11,2021-03-17 07:34,1726,2021,3,1,261,1,6,-57.44614872490278,-23.40161297824877,-36.748263999459034,16.236266853455085,1.9082023298082262,17.978638826939324,3.5097856369862326,5,0,7,activity_1,71.53764535230206,extended_mission,1.726,0.8872127425763265,5,3,0,3,0,0,0,0,1,0,0.7847065437552077,1.2102989556250932,1.270967179954561,1.0406933945465862,1.8068320734549852,1,1,CAMERA,1,0,0,0.03142918568673425,0,1,0,0,0,0,1,1,science,3,0,degraded,low,critical,0.723092165494472,1.3097616369525098,3,12,31,6,18,3,92.96976523425731,80.8120379564417,63.34037565104234,87.14605901877177,80.36720768991145,18.657005888603585,1726,0,0,0,0,0,2,1
2021-08-15,2021-11-22 23:40,1530,2021,4,17,318,0,19,-77.65619685806993,-32.147829086408464,-42.94782345340011,8.702173248834997,19.95480970097884,14.337335499634975,4.894767301246938,5,1,0,activity_2,96.98844016746773,surface_operations,1.53,0.23956189066697242,6,5,1,2,0,0,0,1,0,1,0.9870854086995406,0.6356994887207008,1.1721355474058786,1.4424294229930765,1.0940938599809993,4,1,APSS,1,1,1,0.5357746840747585,1,1,0,0,0,0,0,0,science,3,0,safe,medium,nominal,0.9008511633696039,0.9889383578028271,3,18,89,2,18,3,64.51727904094498,17.436642900499145,69.09377381024659,38.67353463005374,93.67299887367345,13.752094414599325,1530,0,0,0,0,0,3,0
2021-09-09,2021-03-19 15:15,473,2021,3,20,152,5,23,-45.61149506195201,-25.96286204929949,-32.89642526005736,24.63351627784859,13.379765094284572,25.324031750275914,2.175272449527844,3,0,1,activity_3,227.91652461837646,extended_mission,0.473,0.30536386034439345,6,6,0,5,0,1,0,0,0,0,0.3018423785145038,1.4819225984255646,0.7372490874968001,0.7880995472389016,2.36622851279506,2,0,HP3,1,0,1,0.09367476782809248,0,6,0,0,0,0,1,1,routine,4,0,safe,medium,critical,0.6040760558573,1.0251176115420135,0,27,63,32,4,3,72.24521152615053,28.07723624408558,2.431596643145384,64.54722959071678,17.711067940704893,94.04585843529144,473,0,214,527,0,427,4,1
2021-09-10,2021-06-26 02:39,1397,2021,8,18,288,6,21,-72.06766093519181,-49.83345403721045,-61.71192352114775,13.063769105965013,16.97339589849349,9.781746600471008,3.6900994860955336,7,0,9,activity_4,61.017388806993296,surface_operations,1.397,0.4197808564462765,29,8,0,4,0,1,0,0,0,1,0.560208158974844,1.1027293304369594,1.2982951789667752,1.2749458961666478,2.2549171931442586,3,0,WTS,0,0,1,0.5788648955075587,1,6,1,1,0,0,1,0,routine,0,0,degraded,high,limited,0.500578876489799,1.3862498908535161,5,16,51,41,5,2,12.706051265188478,52.224326005480435,76.99935530986109,21.582102749684317,62.28904758190003,8.5347464993768,1397,0,0,0,0,0,4,1
2021-07-09,2021-12-21 00:57,884,2021,10,1,239,1,21,-54.27020386499688,-33.59210493129075,-62.40297463743257,28.871632016579852,14.75793833391537,24.402391837899025,3.2527433580545853,3,1,9,activity_5,346.55342928405304,extended_mission,0.884,0.15864644764249103,26,9,0,4,0,0,0,0,0,1,0.14140237781957748,0.2733118441741463,1.3554605840110072,1.3554867890700355,1.685434572718313,1,1,WTS,1,0,0,0.3463043210894008,1,6,0,0,0,0,0,0,science,1,0,degraded,medium,nominal,0.9206762711086331,0.8913404350125709,9,25,18,31,0,4,68.3963769398141,61.585116438991385,94.38916045607571,94.42515971251673,86.71989335550037,63.64035974460113,884,0,0,116,0,16,3,1
2021-02-03,2021-07-17 07:28,1932,2021,10,10,90,5,1,-76.96527358820484,-40.15850182826375,-43.819933858862726,13.708415111329934,18.732963037114146,6.371521433647619,2.380757142720104,4,1,4,activity_6,14.026727631684107,surface_operations,1.932,0.5685202837499583,39,1,0,4,0,1,0,0,0,0,0.4348162772135049,1.5975433293355943,0.8408035402530178,1.696135988405347,2.6460318796075297,0,0,HP3,0,0,0,0.23823615240397944,1,1,1,0,0,0,0,0,science,3,0,nominal,medium,nominal,0.9268662599473403,1.0838025181012447,8,18,75,8,6,3,95.0061967050805,95.06071469375561,57.34378881232861,63.183721216979926,44.84455219783198,29.321077169806454,1932,0,0,0,0,0,0,1
2021-10-26,2021-12-17 05:06,891,2021,8,10,283,1,1,-85.932560967905,-56.60649143659232,-30.601218967447103,14.356769893903008,7.412842941337818,33.44798485401259,4.762618598227364,13,1,3,activity_7,51.47700553902091,extended_mission,0.891,0.7081811955831998,23,6,0,3,0,0,0,1,1,0,0.32385173898725916,0.7944545522343773,0.9344518444882713,0.680523260809708,1.5130052169535428,1,1,CAMERA,1,1,0,0.8227903518766931,0,1,0,0,0,0,0,0,routine,4,0,degraded,low,critical,0.6344004236161593,0.6243369825400313,0,5,5,43,12,4,4.315991195057611,89.11431136980711,52.77011090862999,99.29647961193004,7.379656473539886,55.38542844013208,891,0,0,109,0,9,3,0
2021-10-28,2021-04-26 07:57,1426,2021,12,18,28,3,4,-41.28025961669167,-20.551570220815883,-43.582722869111464,18.40240915860301,6.190552325726555,33.48282568974321,3.5812902764924566,13,1,2,activity_8,120.83762332690675,surface_operations,1.426,0.9405318271353834,9,9,1,2,1,0,0,0,0,0,0.939455635018612,1.758915001100735,0.5452186701061894,0.339550461745878,1.441158417195124,0,1,IDA,1,0,0,0.37673896993794076,1,1,1,1,1,0,0,0,maintenance,2,0,safe,low,nominal,0.34445828071300094,0.5552328014539871,0,20,54,5,16,4,99.97176732861305,99.66368370739053,55.543170560262745,76.89874151805105,94.47657298824281,84.96473906774115,1426,0,0,0,0,0,0,0
2021-12-01,2021-06-12 04:29,1102,2021,11,25,112,6,14,-68.97321106674625,-28.61326944222762,-46.22873893615909,25.126116687984048,18.063021173532526,26.60422992340522,4.912082262915701,18,1,1,activity_9,187.25886040031762,extended_mission,1.102,0.5548156085422257,38,4,0,1,1,0,0,0,0,0,0.8052877114670287,0.9137770081782863,1.1220867002278734,1.5935455631201179,2.8738015591441055,3,1,IDA,1,0,1,0.7689177413153975,1,5,1,0,0,0,0,1,maintenance,4,0,degraded,low,limited,0.743380598021708,0.8602184281672896,2,14,22,15,10,3,18.188008439914483,34.56672833238632,89.67884099060119,47.39616402628724,66.75577385210272,17.231987120162984,1102,0,0,0,0,0,1,0
