URN,Start Time,Stop Time,File Name,sol_number,start_mean_solar_time,stop_mean_solar_time,start_true_solar_time,stop_true_solar_time,start_solar_longitude,stop_solar_longitude,Ls,Mars Year,File_Size(Mb)
urn:nasa:pds:insight_twins:data_calibrated:twins_calib_0004,2018-11-30T14:46:55.755Z,2018-11-30T19:27:47.091Z,twins_calib_0004,4,4M06:46:33.826,4M11:19:54.293,4 06:05:41,4 10:38:56,297.938,298.055,297.88,34,0.188
urn:nasa:pds:insight_twins:data_calibrated:twins_calib_0005,2018-12-01T21:55:23.267Z,2018-12-02T02:10:56.766Z,twins_calib_0005,5,5M13:05:01.823,5M17:13:45.063,5 12:23:35,5 16:32:14,298.717,298.824,298.61,34,2.793
urn:nasa:pds:insight_twins:data_calibrated:twins_calib_0010,2018-12-07T02:45:35.021Z,2018-12-07T03:03:55.725Z,twins_calib_0010,10,10M14:34:49.249,10M14:52:40.504,10 13:51:16,10 14:09:07,301.827,301.834,301.77,34,0.2
urn:nasa:pds:insight_twins:data_calibrated:twins_calib_0014,2018-12-11T02:19:02.175Z,2018-12-11T15:04:38.363Z,twins_calib_0014,14,14M11:34:52.251,14M23:59:59.384,14 10:49:51,14 23:14:47,304.192,304.507,304.15,34,6.461
urn:nasa:pds:insight_twins:data_calibrated:twins_calibevent_0014,2018-12-11T03:12:44.084Z,2018-12-11T15:04:38.363Z,twins_calibevent_0014,14,14M12:27:07.955,14M23:59:59.384,14 11:42:06,14 23:14:47,304.214,304.507,304.33,34,5.36
urn:nasa:pds:insight_twins:data_calibrated:twins_calib_0015,2018-12-11T15:04:39.363Z,2018-12-12T15:44:13.640Z,twins_calib_0015,15,15M00:00:00.357,15M23:59:59.416,14 23:14:48,15 23:14:26,304.507,305.114,304.74,34,12.469
urn:nasa:pds:insight_twins:data_calibrated:twins_calibevent_0015,2018-12-11T15:04:39.363Z,2018-12-12T14:28:46.717Z,twins_calibevent_0015,15,15M00:00:00.357,15M22:46:33.614,14 23:14:48,15 22:01:01,304.507,305.083,304.74,34,4.301
urn:nasa:pds:insight_twins:data_calibrated:twins_calib_0016,2018-12-12T15:44:14.640Z,2018-12-13T16:23:49.124Z,twins_calib_0016,16,16M00:00:00.390,16M23:59:59.650,15 23:14:27,16 23:14:06,305.114,305.721,305.33,34,10.09
urn:nasa:pds:insight_twins:data_calibrated:twins_calibevent_0016,2018-12-12T17:32:31.520Z,2018-12-13T15:10:56.185Z,twins_calibevent_0016,16,16M01:45:23.440,16M22:49:03.712,16 00:59:48,16 22:03:11,305.159,305.691,305.33,34,6.583
urn:nasa:pds:insight_twins:data_calibrated:twins_calib_0017,2018-12-13T16:23:51.124Z,2018-12-14T17:03:23.356Z,twins_calib_0017,17,17M00:00:01.596,17M23:59:58.665,16 23:14:08,17 23:13:45,305.721,306.327,305.92,34,8.047
urn:nasa:pds:insight_twins:data_calibrated:twins_calibevent_0017,2018-12-13T18:48:48.979Z,2018-12-14T16:47:38.376Z,twins_calibevent_0017,17,17M02:21:06.734,17M23:44:38.968,17 01:35:11,17 22:58:25,305.78,306.32,305.92,34,3.84
urn:nasa:pds:insight_twins:data_calibrated:twins_calib_0018,2018-12-14T17:03:25.356Z,2018-12-15T17:42:58.705Z,twins_calib_0018,18,18M00:00:00.611,18M23:59:58.767,17 23:13:47,18 23:13:25,306.327,306.932,306.51,34,9.797
urn:nasa:pds:insight_twins:data_calibrated:twins_calibevent_0018,2018-12-14T18:10:59.273Z,2018-12-15T16:36:18.767Z,twins_calibevent_0018,18,18M01:05:46.063,18M22:55:05.850,18 00:19:31,18 22:08:33,306.354,306.904,306.51,34,8.297
urn:nasa:pds:insight_twins:data_calibrated:twins_calib_0019,2018-12-15T17:43:00.705Z,2018-12-16T18:22:35.090Z,twins_calib_0019,19,19M00:00:00.714,19M23:59:59.878,18 23:13:27,19 23:13:07,306.932,307.536,307.1,34,8.36
urn:nasa:pds:insight_twins:data_calibrated:twins_calibevent_0019,2018-12-15T17:59:39.689Z,2018-12-16T18:22:35.090Z,twins_calibevent_0019,19,19M00:16:12.969,19M23:59:59.878,18 23:29:39,19 23:13:07,306.938,307.536,307.1,34,5.184
urn:nasa:pds:insight_twins:data_calibrated:twins_calibevent_0020,2018-12-16T18:22:36.090Z,2018-12-17T17:54:22.549Z,twins_calibevent_0020,20,20M00:00:00.851,20M22:54:00.928,19 23:13:08,20 22:06:51,307.536,308.111,307.69,34,6.915
urn:nasa:pds:insight_twins:data_calibrated:twins_calib_0020,2018-12-16T18:22:37.090Z,2018-12-17T19:02:08.483Z,twins_calib_0020,20,20M00:00:01.824,20M23:59:58.076,19 23:13:09,20 23:12:47,307.536,308.139,307.69,34,8.125
urn:nasa:pds:insight_twins:data_calibrated:twins_calib_0021,2018-12-17T19:02:10.483Z,2018-12-18T19:41:44.743Z,twins_calib_0021,21,21M00:00:00.023,21M23:59:59.065,20 23:12:49,21 23:12:30,308.139,308.741,308.27,34,9.497
urn:nasa:pds:insight_twins:data_calibrated:twins_calibevent_0021,2018-12-18T04:18:02.808Z,2018-12-18T18:23:51.835Z,twins_calibevent_0021,21,21M09:00:59.982,21M22:44:11.183,21 08:13:42,21 21:56:43,308.365,308.709,308.45,34,7.34
urn:nasa:pds:insight_twins:data_calibrated:twins_calib_0022,2018-12-18T19:41:45.743Z,2018-12-19T20:21:19.093Z,twins_calib_0022,22,22M00:00:00.038,22M23:59:58.195,21 23:12:31,22 23:12:12,308.741,309.342,308.86,34,9.813
urn:nasa:pds:insight_twins:data_calibrated:twins_calibevent_0022,2018-12-19T06:42:15.829Z,2018-12-19T19:36:21.143Z,twins_calibevent_0022,22,22M10:42:49.793,22M23:16:12.430,22 09:55:13,22 22:28:27,309.009,309.323,309.04,34,3.715
urn:nasa:pds:insight_twins:data_calibrated:twins_calib_0023,2018-12-19T20:21:21.093Z,2018-12-20T21:00:55.194Z,twins_calib_0023,23,23M00:00:00.141,23M23:59:59.029,22 23:12:14,23 23:11:56,309.342,309.942,309.45,34,7.387
urn:nasa:pds:insight_twins:data_calibrated:twins_calibevent_0023,2018-12-20T07:32:41.159Z,2018-12-20T20:00:43.265Z,twins_calibevent_0023,23,23M10:53:22.486,23M23:01:23.740,23 10:05:29,23 22:13:22,309.614,309.917,309.62,34,0.958
urn:nasa:pds:insight_twins:data_calibrated:twins_calib_0024,2018-12-20T21:00:57.193Z,2018-12-21T21:40:31.245Z,twins_calib_0024,24,24M00:00:00.974,24M23:59:59.814,23 23:11:58,24 23:11:41,309.942,310.541,310.2,34,10.692
urn:nasa:pds:insight_twins:data_calibrated:twins_calibevent_0024,2018-12-20T21:07:00.186Z,2018-12-21T14:09:49.746Z,twins_calibevent_0024,24,24M00:05:54.255,24M16:41:21.829,23 23:17:51,24 15:53:08,309.944,310.359,310.03,34,1.852
urn:nasa:pds:insight_twins:data_calibrated:twins_calib_0025,2018-12-21T21:40:32.245Z,2018-12-22T22:20:06.538Z,twins_calib_0025,25,25M00:00:00.788,25M23:59:59.862,24 23:11:42,25 23:11:25,310.541,311.139,310.79,34,12.586
urn:nasa:pds:insight_twins:data_calibrated:twins_calibevent_0025,2018-12-22T01:16:57.970Z,2018-12-22T02:08:08.901Z,twins_calibevent_0025,25,25M03:30:39.070,25M04:20:27.836,25 02:42:18,25 03:32:06,310.629,310.649,310.44,34,0.485
urn:nasa:pds:insight_twins:data_calibrated:twins_calib_0026,2018-12-22T22:20:07.538Z,2018-12-23T22:59:41.887Z,twins_calib_0026,26,26M00:00:00.835,26M23:59:59.964,25 23:11:26,26 23:11:10,311.139,311.737,311.37,34,10.747
urn:nasa:pds:insight_twins:data_calibrated:twins_calibevent_0026,2018-12-23T10:31:14.605Z,2018-12-23T13:43:33.381Z,twins_calibevent_0026,26,26M11:51:34.208,26M14:58:44.256,26 11:02:52,26 14:10:00,311.435,311.512,311.37,34,1.461
urn:nasa:pds:insight_twins:data_calibrated:twins_calib_0027,2018-12-23T22:59:42.887Z,2018-12-24T23:39:16.229Z,twins_calib_0027,27,27M00:00:00.937,27M23:59:59.086,26 23:11:11,27 23:10:54,311.737,312.333,311.95,34,12.657
urn:nasa:pds:insight_twins:data_calibrated:twins_calibevent_0027,2018-12-24T13:16:32.789Z,2018-12-24T21:04:23.376Z,twins_calibevent_0027,27,27M13:53:55.331,27M21:29:14.870,27 13:04:57,27 20:40:12,312.082,312.27,312.07,34,1.293
urn:nasa:pds:insight_twins:data_calibrated:twins_calib_0028,2018-12-24T23:39:17.229Z,2018-12-26T00:18:51.544Z,twins_calib_0028,28,28M00:00:00.059,28M23:59:59.155,27 23:10:55,28 23:10:40,312.333,312.928,312.53,34,12.575
urn:nasa:pds:insight_twins:data_calibrated:twins_calib_0029,2018-12-26T00:18:52.544Z,2018-12-27T00:58:26.863Z,twins_calib_0029,29,29M00:00:00.129,29M23:59:59.229,28 23:10:41,29 23:10:27,312.928,313.523,313.11,34,12.864
