date,datetime,sol,year,month,day,day_of_year,weekday,hour,temp_min,temp_max,temp_avg,temp_range,wind_speed_avg,wind_speed_max,wind_speed_std,weather_readings_count,end,look_ahead,activity,solar_longitude_deg,mission_phase,mission_age_factor,phase_progression,activity_word_count,instruction_count,is_multi_part,systems_involved,uses_ida,uses_hp3,uses_seis,uses_apss,uses_camera,uses_wts,complexity_score,seasonal_intensity,orbital_thermal_factor,diurnal_thermal_load,thermal_stress_combined,sol_diff,is_consecutive_sol,primary_instrument,requires_movement,power_intensive,redundancy_active,data_intensity,has_look_ahead,planning_horizon,is_science,is_maintenance,is_deployment,is_recovery,is_thermal,is_communication,primary_activity_type,activity_chain_position,is_recovery_activity,operational_status,criticality,power_status,success_indicator,operational_tempo,sols_since_last_science,sols_since_last_maintenance,sols_since_last_deployment,sols_since_last_recovery,sols_since_last_thermal,sols_since_last_communication,cumulative_ida_usage,cumulative_hp3_usage,cumulative_seis_usage,cumulative_apss_usage,cumulative_camera_usage,cumulative_wts_usage,sols_to_landing,sols_to_deployment_complete,sols_to_primary_mission_end,sols_to_first_extension_end,sols_to_conjunction_1,sols_to_conjunction_2,events_count,has_events
2018-12-13,2018-12-11,16,2018,12,11,347,3,4,178.7337488888889,262.0465977777778,211.93274063313592,83.31284888888888,7.694460807523436,11.18330855855856,2.221089695750592,88,,,"High Resolution Imaging of SEIS and HP3 Deployment Locations, SEIS SP Data Collection, SEIS Tilt Measurement, HP3 Open Cover Radiometer Calibrations, and Start HP3 SSA Monitoring",305.44,Early_Deployment,0.1484200051182733,0.15151515151515152,26,7,0,3,0,1,1,0,1,0,0.5269105691056911,35.44,0.692,0.9330127018922193,0.6456447897094157,1.0,1,HP3,1,0,0,5,0,0,1,1,1,0,0,1,SCIENCE,0,0,1,1,1,0,0.2099651567944251,0,0,0,7,4,0,3,3,2,3,7,1,15,84,671,1358,234,984,1,True
2018-12-14,2018-12-12,17,2018,12,12,348,4,5,179.2383822222222,266.7914,215.43566406366588,87.5530177777778,5.13665195702331,7.775539999999999,1.3856410600599032,97,,,Runout,306.04,Early_Deployment,0.15700374880966478,0.16161616161616163,1,1,0,0,0,0,0,0,0,0,0.03398373983739837,36.04000000000002,0.6886666666666665,0.9829629131445341,0.6769337928522023,1.0,1,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,OTHER,0,0,1,1,1,0,0.18178861788617887,1,1,1,6,3,1,3,3,2,3,7,1,16,83,670,1357,233,983,1,True
2018-12-15,2018-12-13,18,2018,12,13,349,5,6,179.94050666666666,263.7712577777778,215.4535882264861,83.83075111111114,6.805472826061816,10.395,1.5718400649144857,97,,,Below Deck Imaging of All Footpads and Grapple Unstow,306.65,Early_Deployment,0.16551443847757338,0.1717171717171717,9,2,0,2,1,0,0,0,1,0,0.2191869918699187,36.64999999999998,0.6852777777777779,1.0,0.6852777777777779,1.0,1,IDA,1,0,0,1,0,0,1,0,1,0,0,0,SCIENCE,0,0,1,1,1,0,0.20824622531939604,0,2,0,5,2,2,4,3,2,3,8,1,17,82,669,1356,232,982,1,True
2018-12-16,2018-12-14,19,2018,12,14,350,6,6,180.11681333333334,266.02855654101995,215.78600304255602,85.91174320768661,6.085785891302919,8.49018,1.1168658584348925,97,,,Runout,307.25,Early_Deployment,0.17395330712343804,0.18181818181818182,1,1,0,0,0,0,0,0,0,0,0.03398373983739837,37.25,0.6819444444444445,1.0,0.6819444444444445,1.0,1,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,OTHER,0,0,1,1,1,0,0.20005807200929152,1,3,1,4,1,1,4,3,2,3,8,1,18,81,668,1355,231,981,1,True
2018-12-17,2018-12-15,20,2018,12,15,351,0,7,181.29684666666668,265.4472977777777,216.07659284958558,84.15045111111101,6.758548167241122,9.53324888888889,1.5544434017751017,97,,,"SEIS Capture with Grapple, Acquire SEIS Data, Update TWINS Heater Setpoints, and Imaging",307.86,Early_Deployment,0.18232155679395465,0.1919191919191919,13,5,0,3,1,0,1,0,1,0,0.3784552845528455,37.860000000000014,0.6785555555555555,0.9829629131445341,0.6669949456192965,1.0,1,SEIS,1,0,0,2,0,0,1,0,1,0,1,1,SCIENCE,0,0,1,1,0,0,0.2492682926829268,0,4,0,3,0,0,5,3,3,3,9,1,19,80,667,1354,230,980,1,True
2018-12-18,2018-12-16,21,2018,12,16,352,1,8,180.20264666666668,262.16177555555555,214.25361365316166,81.95912888888887,7.778230356244393,12.03523777777778,2.063144809696512,97,,,Runout,308.46,Early_Deployment,0.19062035960864973,0.20202020202020202,1,1,0,0,0,0,0,0,0,0,0.03398373983739837,38.45999999999998,0.6752222222222224,0.9330127018922194,0.6299909099332243,1.0,1,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,OTHER,0,0,1,1,1,0,0.18006968641114982,1,3,1,2,1,1,5,3,3,3,9,1,20,79,666,1353,229,979,1,True
2018-12-19,2018-12-17,22,2018,12,17,353,2,8,180.04731555555557,266.78619555555554,216.50714239584013,86.73887999999997,5.771697621810018,8.245226666666666,1.5733928882144226,97,,,SEIS Deployment,309.06,Early_Deployment,0.1988508587451652,0.21212121212121213,2,1,0,1,0,0,1,0,0,0,0.09130081300813009,39.06,0.6718888888888889,0.9330127018922194,0.6268808675935834,1.0,1,SEIS,1,0,0,0,0,0,0,0,1,0,0,0,DEPLOYMENT,0,0,1,1,1,0,0.18825783972125434,1,2,0,1,2,2,5,3,4,3,9,1,21,78,665,1352,228,978,1,True
2018-12-20,2018-12-18,23,2018,12,18,354,3,9,180.04669623059866,261.2157577777777,215.2927282911743,81.16906154717904,7.819241410893413,12.377577777777775,1.975036512783391,97,,,IDC and ICC Imaging of SEIS; Unsafe HP3,309.66,Early_Deployment,0.20701416938432615,0.2222222222222222,8,3,0,3,0,1,1,0,1,0,0.2885365853658537,39.660000000000025,0.6685555555555553,0.8535533905932737,0.570647861244414,1.0,1,CAMERA,0,0,0,1,0,0,1,0,0,1,0,0,SCIENCE,0,0,0,1,1,0,0.15420441347270616,0,1,1,0,3,2,5,4,5,3,10,1,22,77,664,1351,227,977,1,True
2018-12-21,2018-12-19,24,2018,12,19,355,4,10,180.08534666666668,266.8535933333333,211.2928518325742,86.76824666666664,5.923629921642491,8.576125313283207,1.0845733092604164,80,,,Grapple Adjustment; HP3 Checkouts and Calibrations,310.26,Early_Deployment,0.2151113796169455,0.23232323232323232,6,3,0,2,1,1,0,0,0,0,0.22390243902439025,40.25999999999999,0.6652222222222223,0.75,0.4989166666666667,1.0,1,IDA,1,0,0,0,0,0,0,1,1,0,0,0,MAINTENANCE,0,0,1,1,1,0,0.181335656213705,1,0,0,1,4,1,6,5,5,3,10,1,23,76,663,1350,226,976,1,True
2018-12-22,2018-12-20,25,2018,12,20,356,5,10,179.9431622222222,262.1903311111111,216.09539325397077,82.2471688888889,,,,97,,,"Release SEIS Grapple, HP3 Tilt Measurements, SEIS Collect SP Data and Tilt Measurements, and IDC and ICC Imaging",310.86,Early_Deployment,0.22314355131420976,0.24242424242424243,18,7,0,4,1,1,1,0,1,0,0.5183739837398373,40.860000000000014,0.6618888888888887,0.75,0.49641666666666656,1.0,1,SEIS,1,0,0,4,0,0,1,0,1,0,0,1,SCIENCE,0,0,1,1,1,0,0.2240766550522648,0,1,0,2,5,0,7,6,6,3,11,1,24,75,662,1349,225,975,1,True
