URN,Start Time,Stop Time,File Name,sol_number,start_mean_solar_time,stop_mean_solar_time,start_true_solar_time,stop_true_solar_time,start_solar_longitude,stop_solar_longitude,Ls,Mars Year,File_Size(Mb)
urn:nasa:pds:insight_ps:data_calibrated:ps_calib_0004,2018-11-30T14:44:27.755Z,2018-11-30T19:27:55.041Z,ps_calib_0004,4,4M06:44:09.786,4M11:20:02.030,4 06:03:17,4 10:39:04,297.937,298.055,297.88,34,2.723
urn:nasa:pds:insight_ps:data_calibrated:ps_calib_0005,2018-12-01T21:52:55.267Z,2018-12-02T02:10:57.716Z,ps_calib_0005,5,5M13:02:37.783,5M17:13:45.987,5 12:21:11,5 16:32:15,298.716,298.824,298.61,34,33.68
urn:nasa:pds:insight_ps:data_calibrated:ps_calib_0010,2018-12-07T02:43:06.024Z,2018-12-07T03:04:03.675Z,ps_calib_0010,10,10M14:32:24.240,10M14:52:48.241,10 13:48:51,10 14:09:15,301.826,301.834,301.77,34,2.723
urn:nasa:pds:insight_ps:data_calibrated:ps_calib_0014,2018-12-11T02:16:55.179Z,2018-12-11T15:04:38.863Z,ps_calib_0014,14,14M11:32:48.653,14M23:59:59.871,14 10:47:47,14 23:14:47,304.191,304.507,304.15,34,8.985
urn:nasa:pds:insight_ps:data_calibrated:ps_calibevent_0014,2018-12-11T03:28:30.059Z,2018-12-11T15:04:38.963Z,ps_calibevent_0014,14,14M12:42:28.620,14M23:59:59.968,14 11:57:26,14 23:14:48,304.22,304.507,304.33,34,51.418
urn:nasa:pds:insight_ps:data_calibrated:ps_calibevent_0015,2018-12-11T15:04:39.013Z,2018-12-12T14:22:59.672Z,ps_calibevent_0015,15,15M00:00:00.017,15M22:40:55.854,14 23:14:48,15 21:55:24,304.507,305.081,304.74,34,38.864
urn:nasa:pds:insight_ps:data_calibrated:ps_calib_0015,2018-12-11T15:04:39.363Z,2018-12-12T15:44:14.140Z,ps_calib_0015,15,15M00:00:00.357,15M23:59:59.903,14 23:14:48,15 23:14:26,304.507,305.114,304.74,34,17.301
urn:nasa:pds:insight_ps:data_calibrated:ps_calib_0016,2018-12-12T15:44:14.640Z,2018-12-13T16:23:49.124Z,ps_calib_0016,16,16M00:00:00.390,16M23:59:59.650,15 23:14:27,16 23:14:06,305.114,305.721,305.33,34,17.301
urn:nasa:pds:insight_ps:data_calibrated:ps_calibevent_0016,2018-12-12T17:47:47.502Z,2018-12-13T15:04:45.141Z,ps_calibevent_0016,16,16M02:00:14.915,16M22:43:02.595,16 01:14:40,16 21:57:10,305.165,305.689,305.33,34,69.907
urn:nasa:pds:insight_ps:data_calibrated:ps_calib_0017,2018-12-13T16:23:49.624Z,2018-12-14T17:03:24.356Z,ps_calib_0017,17,17M00:00:00.136,17M23:59:59.638,16 23:14:06,17 23:13:46,305.721,306.327,305.92,34,17.301
