datetime,sol,end,look_ahead,activity,solar_longitude_deg,date,year,month,day,hour,day_of_year,weekday
2018-11-27 18:50:00,1,,,Thermal Checkouts,296.23,2018-11-27,2018,11,27,18,331,1
2018-11-28 19:30:00,2,,,Safe Mode,296.85,2018-11-28,2018,11,28,19,332,2
2018-11-29 20:11:00,3,,,Safe Mode Recovery,297.47,2018-11-29,2018,11,29,20,333,3
2018-11-30 20:51:00,4,,,"IDA Unstow Part 1, ICC Cover Open, and Instrument Checkouts",298.09,2018-11-30,2018,11,30,20,334,4
2018-12-01 21:31:00,5,,,IDA/IDC and APSS Safed,298.71,2018-12-01,2018,12,1,21,335,5
2018-12-02 22:11:00,6,,,Runout,299.32,2018-12-02,2018,12,2,22,336,6
2018-12-03 22:51:00,7,,,Runout,299.94,2018-12-03,2018,12,3,22,337,0
2018-12-04 23:31:00,8,,,"IDA Unstow Part 2, Deck Imaging, and Arm Characterization",300.55,2018-12-04,2018,12,4,23,338,1
2018-12-06 00:11:00,9,,,Runout,301.17,2018-12-06,2018,12,6,0,340,3
2018-12-07 00:51:00,10,,,Above Deck and Footpad Imaging; APSS Checkout,301.78,2018-12-07,2018,12,7,0,341,4
2018-12-08 01:31:00,11,,,Runout,302.39,2018-12-08,2018,12,8,1,342,5
2018-12-09 02:11:00,12,,,Workspace Imaging,303.0,2018-12-09,2018,12,9,2,343,6
2018-12-10 02:51:00,13,,,Runout,303.61,2018-12-10,2018,12,10,2,344,0
2018-12-11 03:31:00,14,,,"Below Deck imaging, Science Panorama, First Tau Image, APSS Power On, HP3 Radiometer Cover Open, and SEIS Calibration",304.22,2018-12-11,2018,12,11,3,345,1
2018-12-12 04:11:00,15,,,Runout,304.83,2018-12-12,2018,12,12,4,346,2
2018-12-13 04:51:00,16,,,"High Resolution Imaging of SEIS and HP3 Deployment Locations, SEIS SP Data Collection, SEIS Tilt Measurement, HP3 Open Cover Radiometer Calibrations, and Start HP3 SSA Monitoring",305.44,2018-12-13,2018,12,13,4,347,3
2018-12-14 05:30:00,17,,,Runout,306.04,2018-12-14,2018,12,14,5,348,4
2018-12-15 06:10:00,18,,,Below Deck Imaging of All Footpads and Grapple Unstow,306.65,2018-12-15,2018,12,15,6,349,5
2018-12-16 06:50:00,19,,,Runout,307.25,2018-12-16,2018,12,16,6,350,6
2018-12-17 07:30:00,20,,,"SEIS Capture with Grapple, Acquire SEIS Data, Update TWINS Heater Setpoints, and Imaging",307.86,2018-12-17,2018,12,17,7,351,0
2018-12-18 08:10:00,21,,,Runout,308.46,2018-12-18,2018,12,18,8,352,1
2018-12-19 08:50:00,22,,,SEIS Deployment,309.06,2018-12-19,2018,12,19,8,353,2
2018-12-20 09:30:00,23,,,IDC and ICC Imaging of SEIS; Unsafe HP3,309.66,2018-12-20,2018,12,20,9,354,3
2018-12-21 10:10:00,24,,,Grapple Adjustment; HP3 Checkouts and Calibrations,310.26,2018-12-21,2018,12,21,10,355,4
2018-12-22 10:50:00,25,,,"Release SEIS Grapple, HP3 Tilt Measurements, SEIS Collect SP Data and Tilt Measurements, and IDC and ICC Imaging",310.86,2018-12-22,2018,12,22,10,356,5
2018-12-23 11:29:00,26,,,SEIS and Tether Imaging; Tau Imaging,311.46,2018-12-23,2018,12,23,11,357,6
2018-12-24 12:09:00,27,,,Runout,312.05,2018-12-24,2018,12,24,12,358,0
2018-12-25 12:49:00,28,,,Runout,312.65,2018-12-25,2018,12,25,12,359,1
2018-12-26 13:29:00,29,,,Runout,313.25,2018-12-26,2018,12,26,13,360,2
2018-12-27 14:09:00,30,,,"SEIS Leveling, Acquire SEIS Data, and Imaging",313.84,2018-12-27,2018,12,27,14,361,3
2018-12-28 14:49:00,31,,,Runout,314.43,2018-12-28,2018,12,28,14,362,4
2018-12-29 15:28:00,32,,,"Unsafe IDA and PAE, SEIS Collect SP Data and Tilt Measurements, and SEIS Stereo Imaging",315.02,2018-12-29,2018,12,29,15,363,5
2018-12-30 16:08:00,33,,,Runout,315.62,2018-12-30,2018,12,30,16,364,6
2018-12-31 16:48:00,34,,,Runout,316.21,2018-12-31,2018,12,31,16,365,0
2019-01-01 17:28:00,35,,,"SEIS VBB Recentering and Data Collection, IDS Stereo Imaging of SEIS After Leveling, Sundial Imaging, and Grapple Localization",316.79,2019-01-01,2019,1,1,17,1,1
2019-01-02 18:07:00,36,,,Runout,317.38,2019-01-02,2019,1,2,18,2,2
2019-01-03 18:47:00,37,,,Open SEIS Tether Storage Box,317.97,2019-01-03,2019,1,3,18,3,3
2019-01-04 19:27:00,38,,,"SEIS Tether Assessment, LSA Imaging, and Stow SEIS VBB",318.56,2019-01-04,2019,1,4,19,4,4
2019-01-05 20:07:00,39,,,IDA Temperature Monitoring and HP3 Radiometer Shadow Measurements,319.14,2019-01-05,2019,1,5,20,5,5
2019-01-06 20:46:00,40,,,Load Shunt Assembly (LSA) Release and Imaging,319.73,2019-01-06,2019,1,6,20,6,6
