latitude,longitude,instrument,seasonal_longitude,seasonal_bin,sol_range_start,sol_range_end,median_sol,reliability_score,power_reliability,routine_ratio,complexity_score,complexity_std,sample_count,reliability_std,mission_age_factor,systems_involved,operational_tempo,science_activity_rate,maintenance_activity_rate,recovery_activity_rate,movement_required_rate,power_intensive_rate,temperature_celsius,wind_speed_variability,weather_data_quality,seasonal_intensity_factor,orbital_thermal_factor,diurnal_thermal_factor,combined_thermal_stress
48.867,7.5,IDA,7.5,0,5,106,30,0.98,0.9759,0.7337,0.26,0.0959,8,0.0343,0.0,3.0,0.88,0.6888,0.3816,0.0002,0.6969,0.447,-84.8,0.13,13.0,0.84,0.15,1.47,-999.0
43.041,22.5,IDA,22.5,1,64,168,90,0.9697,0.9466,0.6139,0.5645,0.0671,11,0.0213,0.12,3.8,1.59,0.5542,0.1048,0.0462,0.3964,0.4733,-55.8,0.34,11.0,0.49,0.93,0.81,-999.0
50.705,37.5,IDA,37.5,2,122,229,150,0.9159,0.9179,0.8684,0.5587,0.1422,12,0.077,0.25,2.6,2.15,0.7378,0.3242,0.1079,0.5347,0.5861,-75.3,0.51,7.0,0.23,0.57,0.77,-999.0
46.766,52.5,IDA,52.5,3,187,289,210,0.9578,0.9782,0.6348,0.7179,0.1123,6,0.0295,0.38,2.1,1.74,0.6664,0.2774,0.0549,0.5245,0.3532,-55.3,1.11,9.0,0.61,0.14,1.15,-999.0
51.596,67.5,IDA,67.5,4,241,343,270,0.8084,0.7999,0.769,0.6173,0.0639,11,0.061,0.5,3.3,1.12,0.4308,0.1869,0.0322,0.6719,0.5232,-54.5,1.23,8.0,1.63,0.69,1.27,1.14
43.785,82.5,IDA,82.5,5,304,408,330,0.8267,0.8157,0.6914,0.2988,0.1034,9,0.0892,0.62,1.8,1.14,0.4673,0.1656,0.1116,0.4615,0.226,-999.0,0.45,15.0,1.34,0.26,1.5,-999.0
37.218,97.5,IDA,97.5,6,361,460,390,0.7972,0.8075,0.6719,0.2869,0.0989,10,0.0442,0.75,3.0,1.87,0.4951,0.3185,0.0736,0.5529,0.4534,-81.8,1.27,10.0,0.5,0.14,1.01,0.53
47.42,112.5,IDA,112.5,7,424,528,450,0.6851,0.6871,0.8073,0.432,0.1437,5,0.0876,0.88,3.2,1.09,0.6166,0.3087,0.0457,0.37,0.5929,-75.9,1.49,19.0,1.09,1.07,0.53,-999.0
50.939,127.5,IDA,127.5,8,486,587,510,0.7695,0.7836,0.8663,0.7106,0.1436,8,0.1099,1.0,2.8,0.81,0.4406,0.2991,0.001,0.3643,0.4195,-62.2,0.41,16.0,0.58,0.46,1.2,2.2
38.228,142.5,IDA,142.5,9,543,645,570,0.7421,0.799,0.6796,0.3464,0.1473,17,0.0687,1.12,3.7,1.41,0.54,0.2935,0.1338,0.6457,0.2921,-65.0,1.18,6.0,1.79,0.62,0.64,2.0
45.879,157.5,IDA,157.5,10,603,700,630,0.675,0.6853,0.6226,0.3834,0.0691,5,0.0517,1.25,1.5,1.58,0.7745,0.3088,0.114,0.3389,0.446,-80.1,0.83,18.0,1.39,0.87,1.14,1.09
51.118,172.5,IDA,172.5,11,667,768,690,0.697,0.7124,0.7884,0.3166,0.0571,18,0.0996,1.38,3.7,1.27,0.5502,0.1282,0.1157,0.3144,0.3862,-75.0,0.93,5.0,0.26,1.0,0.73,-999.0
40.264,-172.5,IDA,187.5,12,725,826,750,0.7493,0.7532,0.6256,0.231,0.1031,19,0.09,1.5,1.4,0.99,0.7878,0.3144,0.0082,0.4595,0.3734,-76.2,0.36,6.0,0.89,0.86,0.37,1.38
39.714,-157.5,IDA,202.5,13,785,880,810,0.6655,0.6593,0.8865,0.6427,0.1054,7,0.0448,1.62,2.1,1.86,0.4058,0.1348,0.0092,0.3163,0.5422,-68.4,0.24,12.0,0.96,0.29,0.82,1.73
42.91,-142.5,IDA,217.5,14,843,949,870,0.679,0.6829,0.7503,0.5236,0.1184,20,0.0271,1.75,2.9,0.84,0.6343,0.3821,0.1151,0.4553,0.4573,-65.9,1.42,11.0,1.74,1.1,0.53,-999.0
37.853,-127.5,IDA,232.5,15,908,1009,930,0.7427,0.7241,0.8045,0.4044,0.0761,11,0.0318,1.88,3.1,1.68,0.751,0.3205,0.1607,0.4128,0.271,-56.8,1.49,11.0,0.8,0.95,0.71,2.22
49.242,-112.5,IDA,247.5,16,969,1060,990,0.8402,0.8271,0.7603,0.4979,0.089,17,0.1096,2.0,2.2,0.82,0.7622,0.1274,0.0639,0.68,0.5802,-62.9,0.73,9.0,0.73,0.84,1.2,2.08
37.626,-97.5,IDA,262.5,17,1025,1122,1050,0.7998,0.7729,0.8663,0.4105,0.0617,16,0.0888,2.12,3.5,2.01,0.7354,0.2278,0.0445,0.4587,0.5568,-999.0,0.82,8.0,1.13,1.05,1.36,-999.0
42.504,-82.5,IDA,277.5,18,1083,1185,1110,0.8489,0.8737,0.8115,0.3492,0.083,7,0.0454,2.25,2.2,1.6,0.6964,0.3302,0.1646,0.5977,0.4724,-999.0,0.66,12.0,0.33,0.68,0.82,2.46
37.39,-67.5,IDA,292.5,19,1145,1244,1170,0.7826,0.8005,0.6759,0.6172,0.0575,19,0.0829,2.38,3.1,1.44,0.651,0.2753,0.1802,0.3182,0.3124,-53.8,0.74,14.0,0.64,0.31,0.86,1.67
