column_name,total_count,missing_count,missing_percentage,data_type
look_ahead,662,650,98.19,object
end,662,576,87.01,float64
date,662,513,77.49,object
cumulative_hp3_usage,662,513,77.49,float64
sols_since_last_thermal,662,513,77.49,float64
sols_since_last_recovery,662,513,77.49,float64
sols_since_last_deployment,662,513,77.49,float64
sols_since_last_maintenance,662,513,77.49,float64
sols_since_last_science,662,513,77.49,float64
seasonal_intensity,662,513,77.49,float64
orbital_thermal_factor,662,513,77.49,float64
diurnal_thermal_load,662,513,77.49,float64
thermal_stress_combined,662,513,77.49,float64
sol_diff,662,513,77.49,float64
requires_movement,662,513,77.49,float64
power_intensive,662,513,77.49,float64
redundancy_active,662,513,77.49,float64
data_intensity,662,513,77.49,float64
has_look_ahead,662,513,77.49,float64
planning_horizon,662,513,77.49,object
activity_chain_position,662,513,77.49,float64
cumulative_ida_usage,662,513,77.49,float64
sols_since_last_communication,662,513,77.49,float64
cumulative_seis_usage,662,513,77.49,float64
cumulative_wts_usage,662,513,77.49,float64
sols_to_conjunction_2,662,513,77.49,float64
sols_to_conjunction_1,662,513,77.49,float64
sols_to_first_extension_end,662,513,77.49,float64
day_of_year,662,513,77.49,float64
weekday,662,513,77.49,float64
hour,662,513,77.49,float64
sols_to_primary_mission_end,662,513,77.49,float64
sols_to_deployment_complete,662,513,77.49,float64
cumulative_apss_usage,662,513,77.49,float64
sols_to_landing,662,513,77.49,float64
cumulative_camera_usage,662,513,77.49,float64
activity,662,513,77.49,object
solar_longitude_deg,662,513,77.49,float64
wind_speed_avg,662,9,1.36,float64
wind_speed_max,662,9,1.36,float64
wind_speed_std,662,9,1.36,float64
criticality,662,0,0.0,int64
power_status,662,0,0.0,int64
success_indicator,662,0,0.0,int64
operational_tempo,662,0,0.0,float64
operational_status,662,0,0.0,int64
is_recovery_activity,662,0,0.0,int64
is_thermal,662,0,0.0,int64
events_count,662,0,0.0,int64
primary_activity_type,662,0,0.0,object
is_communication,662,0,0.0,int64
primary_instrument,662,0,0.0,object
is_recovery,662,0,0.0,int64
is_deployment,662,0,0.0,int64
sol,662,0,0.0,int64
year,662,0,0.0,int64
month,662,0,0.0,int64
day,662,0,0.0,int64
temp_min,662,0,0.0,float64
temp_max,662,0,0.0,float64
temp_avg,662,0,0.0,float64
temp_range,662,0,0.0,float64
weather_readings_count,662,0,0.0,int64
mission_phase,662,0,0.0,object
mission_age_factor,662,0,0.0,float64
phase_progression,662,0,0.0,float64
activity_word_count,662,0,0.0,int64
instruction_count,662,0,0.0,int64
is_multi_part,662,0,0.0,int64
systems_involved,662,0,0.0,int64
uses_ida,662,0,0.0,int64
uses_hp3,662,0,0.0,int64
uses_seis,662,0,0.0,int64
uses_apss,662,0,0.0,int64
uses_camera,662,0,0.0,int64
uses_wts,662,0,0.0,int64
complexity_score,662,0,0.0,float64
is_consecutive_sol,662,0,0.0,int64
datetime,662,0,0.0,object
is_science,662,0,0.0,int64
is_maintenance,662,0,0.0,int64
has_events,662,0,0.0,bool
