sol,temp_min,temp_max,temp_avg,temp_range,temp_p05,temp_median,temp_p95,wind_speed_avg,wind_speed_max,wind_speed_std,wind_speed_median,wind_speed_p95,wind_gust_factor,wind_direction_avg,wind_direction_std,wind_resultant_length,wind_u_mean,wind_v_mean,wind_vector_mean_speed,wind_vector_mean_dir,solar_longitude_deg,weather_readings_count,weather_temp_completeness,weather_wind_completeness,weather_data_completeness,weather_available_today,activity_count,activity_text,has_activity,operational_status_rate,has_operational_problem,criticality_rate,is_critical_operation,power_status_rate,has_power_issue,mars_year,sol_of_mars_year,sol_gap,is_consecutive_sol,sol_gap_size,mission_age_linear,mission_age_log,mission_phase,phase_progress,equipment_age_factor,wear_accumulation,activity_word_count,instruction_complexity,is_multipart_operation,operation_part_number,uses_ida,uses_hp3,uses_seis,uses_apss,uses_camera,uses_wts,systems_involved,primary_instrument,is_science_activity,is_maintenance_activity,is_deployment_activity,is_recovery_activity,is_thermal_activity,is_communication_activity,primary_activity_type,activity_intensity,multiple_activities,mars_season,dust_season_risk,orbital_thermal_factor,ls_sin,ls_cos,solar_longitude_diff,temp_volatility_7sol,temp_trend_7sol,operational_tempo_3sol,operational_tempo_7sol,operational_tempo_15sol,sols_since_last_problem,sols_to_next_problem,sols_since_last_activity,activity_days_30sol,cumulative_activity_count,wind_gustiness,wind_volatility_7sol,wind_dust_lifting,wind_sustained_high,wind_high_volatility,dust_storm_probability,dust_event_level,ida_cumulative_usage,ida_usage_intensity,hp3_cumulative_usage,hp3_usage_intensity,seis_cumulative_usage,seis_usage_intensity,apss_cumulative_usage,apss_usage_intensity,camera_cumulative_usage,camera_usage_intensity,wts_cumulative_usage,wts_usage_intensity,mission_operational_cycles,equipment_reliability_score,maintenance_activity,sols_since_maintenance,environmental_stress_index,operational_risk_index,power_availability_proxy,solar_longitude,avg_temp
1,180.14088,264.8105,214.61949,84.447586,183.65314,,260.7156,6.702726,11.669703,1.7113097,,9.267568,1.7339644,285.21445,24.019852,,,,,,296.23,100.0,,,1.0,1.0,1,Thermal Checkouts,1,,0.0,,0.0,,0.0,1,1,1,1,0,0.0006997901,0.09540347,Checkout,0.01,0.0005994004,0.001,2,1,0,0,0,0,0,0,0,1,1,WTS,0,1,0,0,1,0,MAINTENANCE,0.15227273,0,Winter_North,0.06283333,0.8458826,-0.8970271,0.4419756,0.0,0.0,0.0,0.15227273,0.15227273,0.15227273,999,67,0,1,1,4.966976,0.0,0,0,0,0.14463249,none,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,0.99875015,1,0,0.018849999,0.09635863,0.792733,296.23,214.61949
2,180.14088,264.8105,214.61949,84.447586,183.65314,,260.7156,6.702726,11.669703,1.7113097,,9.267568,1.7339644,285.21445,24.019852,,,,,,296.85,100.0,,,1.0,1.0,1,Safe Mode,1,,0.0,,0.0,,0.0,1,2,1,1,0,0.0013995802,0.15121092,Checkout,0.02,0.0011976032,0.002,2,1,0,0,0,0,0,0,0,0,0,NONE,0,0,0,1,0,0,RECOVERY,0.07727273,0,Winter_North,0.0525,0.84195536,-0.892192,0.4516563,0.62,0.0,0.0,0.11477273,0.11477273,0.11477273,999,66,0,2,2,4.966976,0.0,0,0,0,0.14049916,none,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,2,0.9975006,0,1,0.01575,0.08576764,0.7977527,296.85,214.61949
3,180.14088,264.8105,214.61949,84.447586,183.65314,,260.7156,6.702726,11.669703,1.7113097,,9.267568,1.7339644,285.21445,24.019852,,,,,,297.47,100.0,,,1.0,1.0,1,Safe Mode Recovery,1,,0.0,,0.0,,0.0,1,3,1,1,0,0.0020993701,0.19080694,Checkout,0.03,0.0017946108,0.003,3,1,0,0,0,0,0,0,0,0,0,NONE,0,0,0,1,0,0,RECOVERY,0.09090909,0,Winter_North,0.042166665,0.8379881,-0.8872525,0.4612841,0.62,0.0,0.0,0.106818184,0.106818184,0.106818184,999,65,0,3,3,4.966976,0.0,0,0,0,0.13636582,none,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,3,0.9962514,0,2,0.01265,0.08256288,0.80265296,297.47,214.61949
4,180.14088,264.8105,214.61949,84.447586,183.65314,,260.7156,6.702726,11.669703,1.7113097,,9.267568,1.7339644,285.21445,24.019852,,,,,,298.09,100.0,,,1.0,1.0,1,"IDA Unstow Part 1, ICC Cover Open, and Instrument Checkouts",1,,0.0,,0.0,,0.0,1,4,1,1,0,0.0027991603,0.22151999,Checkout,0.04,0.0023904257,0.004,10,4,1,1,1,0,0,0,1,0,2,IDA,0,1,1,0,0,0,MAINTENANCE,0.48636365,0,Winter_North,0.031833332,0.8339812,-0.88220906,0.47085792,0.62,0.0,0.0,0.21818182,0.20170455,0.20170455,999,64,0,4,4,4.966976,0.0,0,0,0,0.13223249,none,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,4,0.9950025,1,0,0.00955,0.10506825,0.8074328,298.09,214.61949
5,180.14088,264.8105,214.61949,84.447586,183.65314,,260.7156,6.702726,11.669703,1.7113097,,9.267568,1.7339644,285.21445,24.019852,,,,,,298.71,100.0,,,1.0,1.0,1,IDA/IDC and APSS Safed,1,,0.0,,0.0,,0.0,1,5,1,1,0,0.0034989503,0.24661438,Checkout,0.05,0.00298505,0.005,4,2,0,0,1,0,0,1,1,0,3,IDA,0,0,0,1,0,0,RECOVERY,0.37954545,0,Winter_North,0.0215,0.82993525,-0.8770623,0.48037657,0.62,0.0,0.0,0.3189394,0.23727272,0.23727272,999,63,0,5,5,4.966976,0.0,0,0,0,0.12809916,none,2,1.0,0,0.0,0,0.0,1,1.0,2,1.0,1,1.0,5,0.9937539,0,1,0.00645,0.112743974,0.81209165,298.71,214.61949
6,180.14088,264.8105,214.61949,84.447586,183.65314,,260.7156,6.702726,11.669703,1.7113097,,9.267568,1.7339644,285.21445,24.019852,,,,,,299.32,100.0,,,1.0,1.0,1,Runout,1,,0.0,,0.0,,0.0,1,6,1,1,0,0.0041987402,0.2678314,Checkout,0.06,0.0035784862,0.006,1,1,0,0,0,0,0,0,0,0,0,NONE,0,0,0,0,0,0,NONE,0.06363636,0,Winter_North,0.011333333,0.8259169,-0.8718984,0.48968682,0.61,0.0,0.0,0.3098485,0.20833334,0.20833334,999,62,0,6,6,4.966976,0.0,0,0,0,0.12403249,none,2,1.0,0,0.0,0,0.0,1,1.0,2,1.0,1,1.0,6,0.9925056,0,2,0.0034,0.104319364,0.8165565,299.32,214.61949
7,180.14088,264.8105,214.61949,84.447586,183.65314,,260.7156,6.702726,11.669703,1.7113097,,9.267568,1.7339644,285.21445,24.019852,,,,,,299.94,100.0,,,1.0,1.0,1,Runout,1,,0.0,,0.0,,0.0,1,7,1,1,0,0.0048985304,0.2862104,Checkout,0.07,0.0041707368,0.007,1,1,0,0,0,0,0,0,0,0,0,NONE,0,0,0,0,0,0,NONE,0.06363636,0,Winter_North,0.001,0.82179475,-0.86654854,0.49909282,0.62,0.0,0.0,0.1689394,0.18766233,0.18766233,999,61,0,7,7,4.966976,0.0,0,0,0,0.11989915,none,2,1.0,0,0.0,0,0.0,1,1.0,2,1.0,1,1.0,7,0.9912576,0,3,0.0003,0.09793508,0.820973,299.94,214.61949
8,180.2088,266.69995,215.58427,85.52489,184.38367,,261.703,5.628128,9.597756,1.6655966,,8.539442,1.7215182,275.29895,34.99804,,,,,,300.55,99.5,,,1.0,1.0,1,"IDA Unstow Part 2, Deck Imaging, and Arm Characterization",1,,0.0,,0.0,,0.0,1,8,1,1,0,0.0055983206,0.30242184,Checkout,0.08,0.004761804,0.008,9,4,1,2,1,0,0,0,1,0,2,IDA,1,1,1,0,0,0,SCIENCE,0.47272727,0,Winter_North,0.0,0.8177023,-0.8611859,0.5082901,0.61,0.3646542,0.1607974,0.2,0.23344156,0.22329545,999,60,0,8,8,3.9696288,0.4061599,0,0,0,0.13290101,none,3,1.0,0,0.0,0,0.0,1,1.0,3,1.0,1,1.0,8,0.99000996,1,0,0.13475741,0.11501731,0.8177023,300.55,215.58427
9,180.2088,266.69995,215.58427,85.52489,184.38367,,261.703,5.628128,9.597756,1.6655966,,8.539442,1.7215182,275.29895,34.99804,,,,,,301.17,99.5,,,1.0,1.0,1,Runout,1,,0.0,,0.0,,0.0,1,9,1,1,0,0.0062981104,0.31692347,Checkout,0.09,0.00535169,0.009,1,1,0,0,0,0,0,0,0,0,0,NONE,0,0,0,0,0,0,NONE,0.06363636,0,Winter_North,0.0,0.8135059,-0.8556354,0.5175791,0.62,0.47076657,0.1607974,0.2,0.2314935,0.20555556,999,59,0,9,9,3.9696288,0.5243502,0,0,0,0.14378327,none,3,1.0,0,0.0,0,0.0,1,1.0,3,1.0,1,1.0,9,0.9887626,0,1,0.17397109,0.11931977,0.8135059,301.17,215.58427
10,180.2088,266.69995,215.58427,85.52489,184.38367,,261.703,5.628128,9.597756,1.6655966,,8.539442,1.7215182,275.29895,34.99804,,,,,,301.78,99.5,,,1.0,1.0,1,Above Deck and Footpad Imaging; APSS Checkout,1,,0.0,,0.0,,0.0,1,10,1,1,0,0.0069979005,0.33004177,Checkout,0.1,0.005940398,0.01,7,3,0,0,0,0,0,1,1,0,2,APSS,1,1,0,0,0,0,SCIENCE,0.39545456,0,Winter_North,0.0,0.8093413,-0.85007656,0.5266591,0.61,0.51569897,0.1607974,0.31060606,0.275,0.22454545,999,58,0,10,10,3.9696288,0.57439685,0,0,0,0.14839126,none,3,1.0,0,0.0,0,0.0,2,1.0,4,1.0,1,1.0,10,0.98751557,1,0,0.19057576,0.13247606,0.8093413,301.78,215.58427
