sol,temp_range,environmental_stress_index,temp_min,temp_max,temp_avg,mars_season,mission_phase,solar_longitude_deg,dust_season_risk,orbital_thermal_factor,wind_speed_avg,wind_speed_max
1,84.447586,0.018849999,180.14088,264.8105,214.61949,Winter_North,Checkout,296.23,0.06283333,0.8458826,6.702726,11.669703
2,84.447586,0.01575,180.14088,264.8105,214.61949,Winter_North,Checkout,296.85,0.0525,0.84195536,6.702726,11.669703
3,84.447586,0.01265,180.14088,264.8105,214.61949,Winter_North,Checkout,297.47,0.042166665,0.8379881,6.702726,11.669703
4,84.447586,0.00955,180.14088,264.8105,214.61949,Winter_North,Checkout,298.09,0.031833332,0.8339812,6.702726,11.669703
5,84.447586,0.00645,180.14088,264.8105,214.61949,Winter_North,Checkout,298.71,0.0215,0.82993525,6.702726,11.669703
6,84.447586,0.0034,180.14088,264.8105,214.61949,Winter_North,Checkout,299.32,0.011333333,0.8259169,6.702726,11.669703
7,84.447586,0.0003,180.14088,264.8105,214.61949,Winter_North,Checkout,299.94,0.001,0.82179475,6.702726,11.669703
8,85.52489,0.13475741,180.2088,266.69995,215.58427,Winter_North,Checkout,300.55,0.0,0.8177023,5.628128,9.597756
9,85.52489,0.17397109,180.2088,266.69995,215.58427,Winter_North,Checkout,301.17,0.0,0.8135059,5.628128,9.597756
10,85.52489,0.19057576,180.2088,266.69995,215.58427,Winter_North,Checkout,301.78,0.0,0.8093413,5.628128,9.597756
11,85.52489,0.19057576,180.2088,266.69995,215.58427,Winter_North,Checkout,302.39,0.0,0.80514175,5.628128,9.597756
12,85.52489,0.17397109,180.2088,266.69995,215.58427,Winter_North,Checkout,303.0,0.0,0.8009075,5.628128,9.597756
13,25.586935,0.67686075,236.32953,261.91647,250.90837,Winter_North,Checkout,304.192,0.0,0.7925355,9.623235,11.183309
14,88.05765,0.6772764,178.73375,266.7914,214.34854,Winter_North,Checkout,304.381,0.0,0.7911963,6.3330755,10.75176
15,87.31283,0.6786898,179.23839,266.5512,214.54288,Winter_North,Checkout,304.87488,0.0,0.78768194,5.6273108,10.395
16,86.08805,0.6797867,179.9405,266.02856,214.73549,Winter_North,Checkout,305.4782,0.0,0.7833599,6.5315547,9.659002
17,85.39991,0.6799712,180.1168,265.51672,215.42831,Winter_North,Checkout,306.0846,0.0,0.77898407,6.0641975,8.49018
18,84.96586,0.68217564,180.20265,265.1685,213.93243,Winter_North,Checkout,306.69366,0.0,0.7745576,7.637728,12.035237
19,86.73888,0.68349385,180.04732,266.7862,214.49202,Winter_North,Checkout,307.2944,0.0,0.7701613,6.2753477,11.103813
20,85.243225,0.21839376,180.04669,265.28992,215.04819,Winter_North,Checkout,307.89536,0.0,0.76573354,7.074374,10.866249
21,86.15184,0.21991733,180.08534,266.23718,215.0982,Winter_North,Checkout,308.5002,0.0,0.7612478,6.8225455,12.377578
22,86.91043,0.19753774,179.94316,266.8536,210.95863,Winter_North,Checkout,309.17545,0.0,0.7562054,6.964502,8.576125
23,82.681564,0.29573408,179.50877,262.19034,214.18884,Winter_North,Checkout,309.6996,0.0,0.752267,8.567627,11.724083
24,87.78885,0.3404587,179.65611,267.44495,215.72774,Winter_North,Checkout,310.3014,0.0,0.74771875,5.453375,10.817422
25,87.82999,0.33021572,179.59352,267.42352,215.499,Winter_North,Checkout,310.8998,0.0,0.7431692,6.535376,12.021659
26,87.89746,0.32450184,178.78049,266.67795,214.45753,Winter_North,Checkout,311.50143,0.0,0.7385685,6.5099525,11.08474
27,85.93159,0.33319142,179.95515,265.88675,215.7413,Winter_North,Checkout,312.0946,0.0,0.7340065,6.192377,10.792944
28,84.303734,0.38008976,179.73155,264.03528,214.21684,Winter_North,Checkout,312.69,0.0,0.7294023,8.18208,13.808169
29,81.8508,0.39344648,183.01767,264.86847,212.3884,Winter_North,Checkout,313.14258,0.0,0.72588587,5.821263,7.833461
30,85.52489,0.31265348,180.2088,266.69995,215.58427,Winter_North,Checkout,313.84,0.0,0.7204397,5.628128,9.597756
31,68.89784,0.5061672,197.82312,266.72098,238.57866,Winter_North,Checkout,314.914,0.0,0.71198905,4.9358444,8.655389
32,87.05109,0.50971997,180.06721,267.1183,215.61917,Winter_North,Checkout,315.1456,0.0,0.7101569,6.7332745,12.545889
33,84.79587,0.5671036,179.94882,264.7447,214.4722,Winter_North,Checkout,315.654,0.0,0.706123,7.9627237,12.0548
34,84.976074,0.5797113,180.48404,265.4601,216.19034,Winter_North,Checkout,316.2416,0.0,0.70144033,5.6289454,8.564845
35,85.0959,0.49242932,180.23857,265.33447,216.23824,Winter_North,Checkout,316.8328,0.0,0.69670784,5.9644575,9.906378
36,85.690414,0.51815385,181.31644,267.00684,214.49069,Winter_North,Checkout,317.4058,0.0,0.69210106,4.926637,8.885822
37,84.90208,0.55765027,180.69492,265.597,215.1033,Winter_North,Checkout,318.00522,0.0,0.687261,7.486191,12.122878
38,83.24732,0.34732413,181.45816,264.70547,215.39592,Winter_North,Checkout,318.5936,0.0,0.6824904,6.7612815,10.051477
39,84.15336,0.3553676,180.77959,264.93295,216.50833,Winter_North,Checkout,319.1784,0.0,0.67772967,5.869939,9.734423
40,88.6057,0.275833,180.97943,269.58514,216.29044,Winter_North,Checkout,319.76593,0.0,0.67292804,5.7445025,9.536511
41,88.61529,0.32012978,181.28517,269.90045,217.85532,Winter_North,Checkout,320.3452,0.0,0.66817623,4.8122964,7.7422776
42,86.82642,0.3450758,182.63957,269.466,218.38681,Winter_North,Checkout,320.9272,0.0,0.6633846,5.0435348,9.428689
43,87.1674,0.37415144,183.82004,270.98743,218.10744,Winter_North,Checkout,321.5115,0.0,0.65855706,4.361354,7.126924
44,84.51225,0.29117352,183.69893,268.21118,218.79651,Winter_North,Checkout,322.0874,0.0,0.65378296,4.62639,8.260944
45,84.81053,0.1946335,183.49149,268.30203,218.33905,Winter_North,Checkout,322.66406,0.0,0.6489869,5.1368675,10.74665
46,83.70685,0.15801191,184.09229,267.79913,218.86888,Winter_North,Checkout,323.2442,0.0,0.6441466,4.7028112,8.229598
47,84.92101,0.0988593,183.64154,268.56256,219.1204,Winter_North,Checkout,323.8212,0.0,0.63931787,4.4604588,8.572037
48,82.776726,0.10182568,184.73952,267.51624,218.648,Winter_North,Checkout,324.39468,0.0,0.6345047,4.449762,7.2350893
49,77.99389,0.11826435,186.35333,264.34723,217.92303,Winter_North,Checkout,324.972,0.0,0.6296455,5.2483015,8.940422
50,78.826225,0.11283721,185.86435,264.69055,217.42986,Winter_North,Checkout,325.5458,0.0,0.624803,4.963244,9.107079
51,79.404434,0.14752868,186.21727,265.6217,217.88867,Winter_North,Checkout,326.12228,0.0,0.6199253,4.0395317,6.7663
52,80.92974,0.15804447,185.92311,266.85284,218.31828,Winter_North,Checkout,326.6906,0.0,0.6151047,3.9706182,7.7255445
53,80.33013,0.17224413,185.66338,265.9935,218.33842,Winter_North,Checkout,327.2616,0.0,0.61025,3.917289,7.844911
