sol,wind_speed_avg,mars_season,temp_avg,environmental_stress_index,dust_season_risk,solar_longitude_deg,mission_phase,activity_count
1,6.702726,Winter_North,214.61949,0.018849999,0.06283333,296.23,Checkout,1
2,6.702726,Winter_North,214.61949,0.01575,0.0525,296.85,Checkout,1
3,6.702726,Winter_North,214.61949,0.01265,0.042166665,297.47,Checkout,1
4,6.702726,Winter_North,214.61949,0.00955,0.031833332,298.09,Checkout,1
5,6.702726,Winter_North,214.61949,0.00645,0.0215,298.71,Checkout,1
6,6.702726,Winter_North,214.61949,0.0034,0.011333333,299.32,Checkout,1
7,6.702726,Winter_North,214.61949,0.0003,0.001,299.94,Checkout,1
8,5.628128,Winter_North,215.58427,0.13475741,0.0,300.55,Checkout,1
9,5.628128,Winter_North,215.58427,0.17397109,0.0,301.17,Checkout,1
10,5.628128,Winter_North,215.58427,0.19057576,0.0,301.78,Checkout,1
11,5.628128,Winter_North,215.58427,0.19057576,0.0,302.39,Checkout,1
12,5.628128,Winter_North,215.58427,0.17397109,0.0,303.0,Checkout,1
13,9.623235,Winter_North,250.90837,0.67686075,0.0,304.192,Checkout,1
14,6.3330755,Winter_North,214.34854,0.6772764,0.0,304.381,Checkout,1
15,5.6273108,Winter_North,214.54288,0.6786898,0.0,304.87488,Checkout,1
16,6.5315547,Winter_North,214.73549,0.6797867,0.0,305.4782,Checkout,1
17,6.0641975,Winter_North,215.42831,0.6799712,0.0,306.0846,Checkout,1
18,7.637728,Winter_North,213.93243,0.68217564,0.0,306.69366,Checkout,1
19,6.2753477,Winter_North,214.49202,0.68349385,0.0,307.2944,Checkout,1
20,7.074374,Winter_North,215.04819,0.21839376,0.0,307.89536,Checkout,1
21,6.8225455,Winter_North,215.0982,0.21991733,0.0,308.5002,Checkout,1
22,6.964502,Winter_North,210.95863,0.19753774,0.0,309.17545,Checkout,1
23,8.567627,Winter_North,214.18884,0.29573408,0.0,309.6996,Checkout,1
24,5.453375,Winter_North,215.72774,0.3404587,0.0,310.3014,Checkout,1
25,6.535376,Winter_North,215.499,0.33021572,0.0,310.8998,Checkout,1
26,6.5099525,Winter_North,214.45753,0.32450184,0.0,311.50143,Checkout,1
27,6.192377,Winter_North,215.7413,0.33319142,0.0,312.0946,Checkout,1
28,8.18208,Winter_North,214.21684,0.38008976,0.0,312.69,Checkout,1
29,5.821263,Winter_North,212.3884,0.39344648,0.0,313.14258,Checkout,1
30,5.628128,Winter_North,215.58427,0.31265348,0.0,313.84,Checkout,1
31,4.9358444,Winter_North,238.57866,0.5061672,0.0,314.914,Checkout,1
32,6.7332745,Winter_North,215.61917,0.50971997,0.0,315.1456,Checkout,1
33,7.9627237,Winter_North,214.4722,0.5671036,0.0,315.654,Checkout,1
34,5.6289454,Winter_North,216.19034,0.5797113,0.0,316.2416,Checkout,1
35,5.9644575,Winter_North,216.23824,0.49242932,0.0,316.8328,Checkout,1
36,4.926637,Winter_North,214.49069,0.51815385,0.0,317.4058,Checkout,1
37,7.486191,Winter_North,215.1033,0.55765027,0.0,318.00522,Checkout,1
38,6.7612815,Winter_North,215.39592,0.34732413,0.0,318.5936,Checkout,1
39,5.869939,Winter_North,216.50833,0.3553676,0.0,319.1784,Checkout,1
40,5.7445025,Winter_North,216.29044,0.275833,0.0,319.76593,Checkout,1
41,4.8122964,Winter_North,217.85532,0.32012978,0.0,320.3452,Checkout,1
42,5.0435348,Winter_North,218.38681,0.3450758,0.0,320.9272,Checkout,1
43,4.361354,Winter_North,218.10744,0.37415144,0.0,321.5115,Checkout,1
44,4.62639,Winter_North,218.79651,0.29117352,0.0,322.0874,Checkout,1
45,5.1368675,Winter_North,218.33905,0.1946335,0.0,322.66406,Checkout,1
46,4.7028112,Winter_North,218.86888,0.15801191,0.0,323.2442,Checkout,1
47,4.4604588,Winter_North,219.1204,0.0988593,0.0,323.8212,Checkout,1
48,4.449762,Winter_North,218.648,0.10182568,0.0,324.39468,Checkout,1
49,5.2483015,Winter_North,217.92303,0.11826435,0.0,324.972,Checkout,1
50,4.963244,Winter_North,217.42986,0.11283721,0.0,325.5458,Checkout,1
51,4.0395317,Winter_North,217.88867,0.14752868,0.0,326.12228,Checkout,1
52,3.9706182,Winter_North,218.31828,0.15804447,0.0,326.6906,Checkout,1
53,3.917289,Winter_North,218.33842,0.17224413,0.0,327.2616,Checkout,1
54,4.19107,Winter_North,217.63582,0.17215088,0.0,327.83484,Checkout,1
55,4.4470415,Winter_North,217.95483,0.17009938,0.0,328.4004,Checkout,1
56,4.263729,Winter_North,217.42085,0.12112322,0.0,328.9659,Checkout,1
57,5.008874,Winter_North,217.456,0.12571745,0.0,329.5346,Checkout,1
58,5.4811482,Winter_North,217.23476,0.18950215,0.0,330.1006,Checkout,1
59,5.127882,Winter_North,217.13696,0.1888621,0.0,330.66312,Checkout,1
60,4.709015,Winter_North,217.68979,0.15637957,0.0,331.2294,Checkout,1
61,4.5004163,Winter_North,217.94269,0.1423321,0.0,331.7922,Checkout,1
62,4.562197,Winter_North,217.71179,0.13734493,0.0,332.357,Checkout,1
63,4.419489,Winter_North,217.91075,0.12840877,0.0,332.9146,Checkout,1
64,4.2831283,Winter_North,217.89331,0.14093125,0.0,333.4744,Checkout,1
65,4.8143926,Winter_North,216.22034,0.10102887,0.0,334.01743,Checkout,1
66,4.6029243,Winter_North,217.78406,0.06819737,0.0,334.5912,Checkout,1
67,4.932827,Winter_North,216.7392,0.08427211,0.0,335.14536,Checkout,1
68,5.475789,Winter_North,216.92345,0.1382788,0.0,335.7036,Checkout,0
69,4.3829336,Winter_North,217.32,0.14338866,0.0,336.2584,Checkout,0
70,4.160484,Winter_North,217.22142,0.15426105,0.0,336.81015,Checkout,1
